# Accelerometer Data File
# Started @Tue Mar 29 09:29:06 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-1.168 4.588 7.847 0
-0.958 4.166 7.04 8
-0.779 3.801 6.321 8
-0.705 3.464 5.625 9
-0.625 3.141 5.037 8
-0.534 2.861 4.466 8
-0.486 2.551 3.915 9
-0.419 2.181 3.524 8
-0.345 1.879 3.306 9
-0.307 1.777 3.209 8
-0.257 1.661 3.321 8
-0.287 1.423 3.146 9
-0.247 1.224 2.81 8
-0.104 1.075 2.448 9
0.077 0.983 2.095 8
0.167 0.959 1.772 8
-0.005 1.035 1.748 9
-0.163 1.155 1.877 8
-0.273 1.276 1.709 9
-0.311 1.311 1.373 8
-0.251 1.181 0.949 8
-0.105 0.884 0.438 9
-0.037 0.712 -0.177 8
0.378 0.485 -0.322 9
0.096 0.522 0.004 8
-0.846 0.664 0.861 8
-1.935 0.818 2.026 9
-2.277 0.938 2.876 8
-0.257 0.731 1.826 8
1.737 -0.063 -0.192 9
2.45 -0.965 -1.435 8
2.591 -1.764 -1.933 9
2.604 -2.24 -1.885 8
2.477 -2.228 -1.396 8
2.13 -1.895 -0.253 9
1.816 -1.406 0.981 8
1.784 -0.85 1.586 9
1.946 -0.351 1.347 8
2.051 -0.074 0.42 8
1.8 -0.155 -0.711 9
1.079 -0.487 -1.213 8
0.097 -0.726 -0.673 9
-0.244 -0.823 -0.223 8
-0.239 -0.85 -0.38 8
-0.393 -0.857 -0.586 9
-0.965 -0.839 0.258 8
-0.56 -0.705 1.086 9
0.205 -0.439 0.78 8
0.733 -0.518 0.987 8
0.863 -0.627 0.911 9
0.818 -0.731 0.398 8
1.128 -1.103 0.132 9
2.597 -1.398 -0.494 8
2.044 -1.104 -1.524 8
1.521 -0.904 -1.459 9
1.37 -0.483 -0.796 8
1.411 0.248 0.18 8
1.197 0.973 1.561 9
0.105 1.467 1.506 8
0.945 1.767 0.463 9
2.564 0.602 -0.734 8
3.403 -0.209 -1.7 8
3.07 0.188 -2.419 9
2.554 0.85 -3.107 8
2.304 1.039 -3.097 9
2.508 0.84 -2.709 8
2.221 0.507 -2.474 8
1.767 0.261 -1.627 9
1.484 -0.015 -0.084 8
1.325 -0.762 1.14 9
0.643 -1.863 1.275 8
0.018 -2.438 1.251 8
-0.388 -2.477 0.911 9
-1.155 -2.145 -0.08 8
-2.725 -1.554 -2.06 9
-4.929 -0.736 -5.017 8
-5.239 -0.339 -5.475 8
-5.128 -1.048 -3.216 9
-4.65 -1.856 -1.861 8
-3.975 -2.351 -1.613 8
-3.49 -2.467 -1.881 9
-3.713 -2.394 -2.254 8
-3.918 -2.299 -2.498 9
-3.673 -2.861 -2.648 8
-1.959 -3.652 -2.805 8
0.285 -4.382 -2.311 9
1.809 -4.954 -0.605 8
1.893 -5.488 2.339 9
1.042 -5.977 5.626 8
0.687 -6.7 6.816 8
0.534 -7.685 5.749 9
0.759 -8.516 3.232 8
1.577 -8.761 0.51 9
3.05 -8.236 -1.17 8
5.187 -7.623 -1.519 8
7.827 -7.393 -0.719 9
9.482 -6.894 0.673 8
10.1 -6.079 1.88 9
10.103 -5.122 2.439 8
9.903 -4.198 2.535 8
8.989 -2.703 1.929 9
7.203 -1.144 0.487 8
5.216 -0.308 -1.358 9
3.625 0.02 -3.116 8
2.667 0.276 -4.379 8
2.01 0.636 -4.951 9
1.516 1.244 -4.961 8
1.101 1.514 -4.581 8
1.168 1.684 -4.042 9
1.391 1.941 -3.589 8
1.381 2.298 -3.319 9
1.135 2.497 -3.054 8
0.709 2.074 -2.493 8
-0.141 1.409 -1.773 9
-1.085 0.844 -1.069 8
-1.922 0.451 -0.309 9
-2.415 0.229 0.553 8
-2.173 0.237 1.344 8
-0.602 0.532 1.443 9
0.611 1.065 1.005 8
-0.255 1.46 0.459 9
-1.923 1.47 -0.05 8
-2.624 1.117 -0.512 8
-1.98 0.799 -0.937 9
-1.949 0.582 -1.163 8
-2.614 0.545 -1.129 9
