# Accelerometer Data File
# Started @Wed Mar 30 10:28:48 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-1.505 4.093 8.374 0
-1.339 3.709 7.537 8
-1.24 3.313 6.67 8
-1.117 2.946 5.882 9
-1.022 2.648 5.262 8
-0.909 2.409 4.736 8
-0.777 2.199 4.277 9
-0.66 1.983 3.889 8
-0.588 1.77 3.535 9
-0.596 1.584 3.313 8
-0.527 1.421 3.039 8
-0.443 1.286 2.686 9
-0.397 1.17 2.354 8
-0.395 1.055 2.17 9
-0.349 0.934 1.941 8
-0.306 0.827 1.723 8
-0.247 0.755 1.543 9
-0.199 0.689 1.391 8
-0.192 0.613 1.266 9
-0.234 0.526 1.169 8
-0.226 0.473 1.066 8
-0.185 0.415 0.983 9
-0.143 0.36 0.861 8
-0.117 0.321 0.695 9
-0.112 0.3 0.533 8
-0.119 0.294 0.455 8
-0.076 0.258 0.454 9
-0.037 0.243 0.462 8
-0.045 0.234 0.411 8
-0.079 0.215 0.355 9
-0.108 0.185 0.334 8
-0.111 0.166 0.337 9
-0.091 0.162 0.327 8
-0.064 0.165 0.258 8
-0.106 0.182 0.155 9
-0.167 0.211 0.116 8
-0.2 0.237 0.145 9
-0.2 0.23 0.108 8
-0.208 0.21 0.039 8
-0.239 0.181 0.013 9
-0.264 0.14 0.065 8
-0.673 0.273 0.118 9
-1.304 0.59 0.263 8
-1.083 0.749 0.798 8
0.097 0.197 0.086 9
1.121 -0.159 -0.444 8
1.465 -0.4 -0.608 9
1.363 -0.613 -0.453 8
1.12 -0.831 -0.114 8
0.737 -0.986 0.273 9
0.428 -0.828 0.252 8
0.493 -0.561 0.214 9
0.232 -0.248 0.274 8
-0.2 -0.009 0.409 8
-0.489 0.094 0.484 9
-0.634 0.142 0.262 8
-0.788 0.206 -0.084 8
-0.637 0.098 -0.034 9
-0.119 -0.005 0.012 8
0.356 -0.05 0.0 9
0.401 -0.024 0.001 8
0.05 0.109 0.051 8
0.309 0.805 0.395 9
0.018 0.791 -0.062 8
-0.209 0.566 -0.256 9
-0.267 0.307 -0.004 8
-0.307 0.026 0.526 8
