# Accelerometer Data File
# Started @Mon Mar 07 16:38:30 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-1.588 6.11 7.061 0
-1.337 5.52 6.253 201
-0.51 4.768 4.83 201
-1.001 4.219 5.68 202
1.441 3.43 5.182 201
2.718 2.173 1.24 202
2.615 -3.541 -1.49 201
10.998 -9.491 3.512 201
5.494 -7.528 -1.476 202
3.354 -7.027 -1.119 201
0.801 -6.9 -1.718 202
0.02 -6.392 -1.888 201
0.901 -5.619 -1.903 201
0.541 -5.64 -1.591 202
0.929 -4.697 -2.0 201
0.768 -4.24 -1.524 202
0.819 -3.827 -1.816 201
1.112 -3.265 -1.43 202
0.935 -3.003 -1.078 201
0.737 -2.704 -1.355 201
0.542 -2.52 -0.939 202
0.42 -2.177 -0.826 201
0.465 -2.082 0.234 202
0.733 -1.847 -0.626 201
0.625 -1.168 0.352 201
0.8 -0.901 -0.161 202
1.203 -1.567 -0.211 201
1.099 -4.964 -1.564 202
-1.954 0.545 -7.623 201
-1.98 -0.225 0.24 202
0.478 0.206 -1.335 201
1.449 -0.391 0.465 201
3.292 -2.007 3.579 202
-1.37 0.497 -0.883 201
0.288 0.693 1.355 202
1.504 -1.142 -0.194 201
1.865 -0.968 -1.361 201
-1.58 0.358 2.532 202
-0.405 0.531 -1.005 201
1.286 -0.232 0.725 202
1.714 -3.945 -1.613 201
-3.155 0.323 0.195 202
-0.042 0.858 0.194 201
2.586 -3.192 -0.507 201
1.652 2.246 -5.254 202
-2.136 0.806 0.609 201
0.512 0.681 0.546 202
0.362 -1.32 1.778 201
-1.499 -1.027 -1.431 201
-1.661 0.814 0.404 202
-0.203 -0.058 0.948 201
1.316 -6.217 2.302 202
0.128 1.533 -3.394 201
-1.124 0.808 0.854 202
1.148 0.912 -0.232 201
0.463 -0.609 2.249 201
-2.113 -0.188 -0.299 202
-0.628 1.1 0.999 201
0.709 0.105 0.822 202
0.476 -3.471 -0.368 201
-0.917 1.612 -0.954 201
-0.407 0.752 1.114 202
0.718 1.264 0.101 201
2.518 -1.594 0.125 202
-0.52 -0.044 0.29 201
1.536 -0.044 3.679 202
2.955 2.61 3.395 201
3.366 4.796 5.198 201
-0.795 7.291 4.865 202
-2.811 8.95 6.448 201
-3.516 10.42 2.34 202
-4.256 10.216 3.199 201
-4.859 9.654 2.864 201
-5.426 9.006 2.861 202
-4.617 7.961 2.606 201
-4.17 7.11 2.012 202
-3.698 6.465 1.595 201
-3.374 5.911 1.725 202
-3.061 5.303 2.305 201

# Completed @Mon Mar 07 16:38:46 CST 2016
