# Accelerometer Data File
# Started @Wed Mar 30 10:14:19 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-1.851 4.546 7.9 0
-1.733 4.119 7.33 8
-1.604 3.712 6.787 8
-1.481 3.328 6.114 9
-1.37 3.005 5.48 8
-1.279 2.751 4.895 8
-1.193 2.539 4.357 9
-1.083 2.32 3.887 8
-0.962 2.104 3.58 9
-0.866 1.898 3.283 8
-0.824 1.689 2.942 8
-0.816 1.509 2.597 9
-0.802 1.37 2.306 8
-0.74 1.255 2.108 9
-0.691 1.154 1.922 8
-0.633 1.055 1.749 8
-0.541 0.959 1.641 9
-0.471 0.873 1.503 8
-0.453 0.778 1.325 9
-0.453 0.644 1.218 8
-0.375 0.519 1.079 8
-0.35 0.39 0.968 9
-0.369 0.277 0.94 8
-0.388 0.194 0.929 9
-0.362 0.165 0.882 8
-0.261 0.217 0.796 8
-0.039 0.335 0.509 9
0.062 0.478 0.215 8
0.023 0.557 -0.061 8
0.007 0.447 -0.343 9
0.089 0.147 -0.575 8
0.159 -0.17 -0.6 9
0.083 -0.293 -0.622 8
0.061 -0.126 -0.358 8
-0.162 0.084 0.027 9
-0.456 0.223 0.401 8
-0.623 0.196 0.627 9
-0.611 -0.044 0.609 8
-1.422 0.248 0.822 8
-2.198 1.632 0.426 9
-1.373 1.706 0.421 8
0.0 0.926 0.352 9
0.822 0.19 -0.21 8
1.236 -0.344 -0.94 8
1.205 -0.203 -0.992 9
0.794 -0.299 -0.143 8
0.901 -0.426 0.698 9
0.932 -0.602 1.359 8
0.313 -0.702 1.844 8
-0.611 -0.315 2.043 9
0.375 0.036 1.155 8
0.462 0.098 -0.344 9
0.207 -0.243 -0.977 8
0.332 -0.798 -0.4 8
1.21 -1.447 0.901 9
2.5 -2.412 1.779 8
4.048 -4.819 1.411 8
2.825 -3.878 -1.193 9
0.152 -0.162 -3.192 8
-1.526 3.43 -3.45 9
-0.986 4.442 -2.312 8
-0.055 3.025 -1.572 8
0.699 1.364 -0.53 9
1.272 0.055 0.374 8
1.262 -0.563 0.873 9
0.907 -0.555 0.95 8
0.627 -0.204 0.75 8
0.648 0.118 0.528 9
0.672 0.142 0.394 8
0.238 0.179 0.533 9
-0.14 0.17 0.749 8
-0.386 0.164 0.811 8
-0.617 0.235 0.611 9
-0.915 0.401 0.301 8
-1.007 0.507 -0.355 9
-1.189 0.629 -1.089 8
-1.315 0.664 -1.31 8
-1.23 0.589 -1.084 9
-0.916 0.464 -0.664 8
-0.638 0.437 -0.034 8
-0.518 0.394 0.419 9
-0.362 0.031 0.267 8
-0.141 -0.039 0.163 9
0.142 0.138 0.118 8
0.402 0.26 -0.094 8
0.376 0.21 -0.48 9
0.23 0.24 -0.266 8
0.284 0.216 -0.194 9
0.47 0.13 0.031 8
0.618 0.065 0.34 8
0.569 0.083 0.425 9
0.288 0.092 -0.093 8
-0.052 0.018 -0.553 9
0.087 -0.118 -0.404 8
0.351 -0.224 0.085 8
0.561 -0.289 0.425 9
0.607 -0.335 0.286 8
0.215 -0.338 0.011 9
-0.249 -0.14 -0.251 8
0.098 -0.109 -0.53 8
0.744 -0.109 -0.785 9
1.212 -0.068 -0.993 8
1.229 0.013 -1.128 9
0.889 0.094 -1.089 8
0.633 0.055 -0.723 8
0.601 -0.073 -0.218 9
0.672 -0.211 0.313 8
0.65 -0.257 0.757 8
0.415 -0.178 1.016 9
0.154 -0.145 1.019 8
0.098 -0.186 0.772 9
-0.043 -0.169 0.366 8
0.105 -0.258 -0.037 8
0.332 -0.381 -0.391 9
0.218 -0.38 -0.767 8
0.03 -0.388 -1.384 9
-0.04 -0.348 -1.829 8
0.129 -0.156 -1.666 8
0.426 0.108 -1.123 9
0.689 0.281 -0.438 8
0.739 0.239 0.199 9
0.364 0.132 0.607 8
0.157 0.104 0.51 8
0.033 0.252 0.325 9
0.028 0.426 0.329 8
0.166 0.532 0.448 9
0.339 0.587 0.482 8
-0.03 0.794 0.702 8
-0.024 0.739 0.876 9
-0.039 0.726 0.433 8
-0.138 0.77 0.007 9
-0.192 0.837 -0.163 8
-0.043 0.875 -0.21 8
0.08 0.812 -0.102 9
0.141 0.677 0.121 8
0.223 0.579 0.448 8
0.259 0.518 0.863 9
0.208 0.496 1.329 8
0.084 0.518 1.738 9
